a	jj
adv	pn
adv:pron	pn
adv:pron:dem	pn
adv:pron:int	pn
adv:pron:rel	pn
adv:q	pn
a:pron:dem	pn	
a:pron:int	pn
cnj:coord	kn
cnj:rel	kn
cnj:sub	sn
muu	xx
n	nn
neg	vb
n:prop	nn
n:prop:pname	nn
num:card	rg
num:murto	rg
num:ord	rg
num:ord_pron	rg
p:post	pp
p:pre	pp
pron	pn
pron:dem	pn
pron:int	pn
pron:pers12	pn
pron:ref	pn
pron:rel	pn
punct	xx
q	pn
v	vb
