filename	*korp_id	*korp_alias	dialect_region	*dialect_region_name	dialect_group	*dialect_group_name	parish_title	parish
hamp_pohjasl1	pohjasl	pohjaslahti	HÄM	Hämäläismurteet	HämP	Pohjois-Häme	Pohjaslahti	Pohjaslahti
hamp_vesl1	vesl	vesilahti	HÄM	Hämäläismurteet	HämP	Pohjois-Häme	Vesilahti	Vesilahti
satp_ika1	ikaa	ikaalinen	HÄM	Hämäläismurteet	SatP	Pohjois-Satakunta	Ikaalinen	Ikaalinen
satp_kanp1	kanp	kankaanpaa	HÄM	Hämäläismurteet	SatP	Pohjois-Satakunta	Kankaanpää	Kankaanpää
satp_kark1	kark	karkku	HÄM	Hämäläismurteet	SatP	Pohjois-Satakunta	Karkku	Karkku
satp_kih1	kihn	kihnio	HÄM	Hämäläismurteet	SatP	Pohjois-Satakunta	Kihniö	Kihniö
satp_punl1	punl	punkalaidun	HÄM	Hämäläismurteet	SatP	Pohjois-Satakunta	Punkalaidun 1	Punkalaidun
satp_punl2	punl	punkalaidun	HÄM	Hämäläismurteet	SatP	Pohjois-Satakunta	Punkalaidun 2	Punkalaidun
satp_suod1	suod	suodenniemi	HÄM	Hämäläismurteet	SatP	Pohjois-Satakunta	Suodenniemi	Suodenniemi
kyml_iit1	iitt	iitti	HÄM	Hämäläismurteet	Kym	Kymenlaakso	Iitti	Iitti
kyml_lapinj1	lapinj	lapinjarvi	HÄM	Hämäläismurteet	Kym	Kymenlaakso	Lapinjärvi	Lapinjärvi
kyml_suu1	suur	suursaari	HÄM	Hämäläismurteet	Kym	Kymenlaakso	Suursaari	Suursaari
kyml_vehk1	vehk	vehkalahti	HÄM	Hämäläismurteet	Kym	Kymenlaakso	Vehkalahti	Vehkalahti
pohe_isoj1	isoj	isojoki	POH	Pohjalaismurteet	PohE	Etelä-Pohjanmaa	Isojoki	Isojoki
pohe_kauhava1	kauhava	kauhava	POH	Pohjalaismurteet	PohE	Etelä-Pohjanmaa	Kauhava	Kauhava
pohe_kuri1	kuri	kurikka	POH	Pohjalaismurteet	PohE	Etelä-Pohjanmaa	Kurikka	Kurikka
pohe_laih1	laih	laihia	POH	Pohjalaismurteet	PohE	Etelä-Pohjanmaa	Laihia	Laihia
pohe_nmo1	nrmo	nurmo	POH	Pohjalaismurteet	PohE	Etelä-Pohjanmaa	Nurmo 1	Nurmo
pohe_nmo2	nrmo	nurmo	POH	Pohjalaismurteet	PohE	Etelä-Pohjanmaa	Nurmo 2	Nurmo
pohe_pers1	pers	peraseinajoki	POH	Pohjalaismurteet	PohE	Etelä-Pohjanmaa	Peräseinäjoki	Peräseinäjoki
pohe_yha_r1	yhar	yliharma	POH	Pohjalaismurteet	PohE	Etelä-Pohjanmaa	Ylihärmä	Ylihärmä
pohki_haaj1	haaj	haapajarvi	POH	Pohjalaismurteet	PohK	Keski-Pohjanmaa	Haapajärvi	Haapajärvi
pohki_haav1	haav	haapavesi	POH	Pohjalaismurteet	PohK	Keski-Pohjanmaa	Haapavesi	Haapavesi
pohkl_him1	hima	himanka	POH	Pohjalaismurteet	PohK	Keski-Pohjanmaa	Himanka	Himanka
pohki_kest1	kest	kestila	POH	Pohjalaismurteet	PohK	Keski-Pohjanmaa	Kestilä	Kestilä
pohki_les1	lest	lestijarvi	POH	Pohjalaismurteet	PohK	Keski-Pohjanmaa	Lestijärvi	Lestijärvi
pohkl_pyhj1	pyhj	pyhajoki	POH	Pohjalaismurteet	PohK	Keski-Pohjanmaa	Pyhäjoki 1	Pyhäjoki
pohkl_pyhj2	pyhj	pyhajoki	POH	Pohjalaismurteet	PohK	Keski-Pohjanmaa	Pyhäjoki 2	Pyhäjoki
pohkl_toho1	toho	toholampi	POH	Pohjalaismurteet	PohK	Keski-Pohjanmaa	Toholampi	Toholampi
pohkl_vet1	vete	veteli	POH	Pohjalaismurteet	PohK	Keski-Pohjanmaa	Veteli	Veteli
pohkl_yvie1	yvie	ylivieska	POH	Pohjalaismurteet	PohK	Keski-Pohjanmaa	Ylivieska 1	Ylivieska
pohkl_yvie2	yvie	ylivieska	POH	Pohjalaismurteet	PohK	Keski-Pohjanmaa	Ylivieska 2	Ylivieska
pohp_hai1	hail	hailuoto	POH	Pohjalaismurteet	PohP	Pohjois-Pohjanmaa	Hailuoto	Hailuoto
pohp_paav1	paav	paavola	POH	Pohjalaismurteet	PohP	Pohjois-Pohjanmaa	Paavola	Paavola
pohp_tem1	temm	temmes	POH	Pohjalaismurteet	PohP	Pohjois-Pohjanmaa	Temmes	Temmes
pohp_yii1	ylii	yli_ii	POH	Pohjalaismurteet	PohP	Pohjois-Pohjanmaa	Yli-Ii	Yli-Ii
pohp_ykii1	ykii	ylikiiminki	POH	Pohjalaismurteet	PohP	Pohjois-Pohjanmaa	Ylikiiminki	Ylikiiminki
lanp_ator1	ator	alatornio	POH	Pohjalaismurteet	LänP	Länsipohja	Alatornio	Alatornio
lanp_muon1	muon	muonio	POH	Pohjalaismurteet	LänP	Länsipohja	Muonio	Muonio
perpl_kemi1	kemi	kemi	POH	Pohjalaismurteet	PerP	Peräpohjola	Kemi	Kemi
perpl_rov1	rova	rovaniemi	POH	Pohjalaismurteet	PerP	Peräpohjola	Rovaniemi	Rovaniemi
perpi_sall1	sall	salla	POH	Pohjalaismurteet	PerP	Peräpohjola	Salla	Salla
perpl_sod1	soda	sodankyla	POH	Pohjalaismurteet	PerP	Peräpohjola	Sodankylä	Sodankylä
hami_joutsa1	joutsa	joutsa	SAV	Savolaismurteet	KesE	Eteläinen Keski-Suomi	Joutsa	Joutsa
hami_ja_ms1	jams	jamsa	SAV	Savolaismurteet	KesE	Eteläinen Keski-Suomi	Jämsä	Jämsä
hami_sys1	sysm	sysma	SAV	Savolaismurteet	KesE	Eteläinen Keski-Suomi	Sysmä	Sysmä
jarp_lappa1	lappa	lappajarvi	SAV	Savolaismurteet	KesL	Läntinen Keski-Suomi	Lappajärvi	Lappajärvi
jare_pihl1	pihl	pihlajavesi	SAV	Savolaismurteet	KesL	Läntinen Keski-Suomi	Pihlajavesi	Pihlajavesi
jarp_soi1	soin	soini	SAV	Savolaismurteet	KesL	Läntinen Keski-Suomi	Soini	Soini
kess_kong1	kong	konginkangas	SAV	Savolaismurteet	KesP	Pohjoinen Keski-Suomi	Konginkangas	Konginkangas
kess_lau1	lauk	laukaa	SAV	Savolaismurteet	KesP	Pohjoinen Keski-Suomi	Laukaa	Laukaa
